AcademicYear,AggregateLevel,CountyCode,DistrictCode,CDCode,SchoolCode,CountyName,DistrictName,SchoolName,CharterSchool,AlternativeSchoolAccountabilityStatus,ReportingCategory,CompleterType,High School Completers,Enrolled In College - Total (12 Months),College Going Rate - Total (12 Months),Enrolled In-State (12 Months),Enrolled Out-of-State (12 Months),Not Enrolled In College (12 Months),Enrolled UC (12 Months),Enrolled CSU (12 Months),Enrolled CCC (12 Months),Enrolled In-State Private (2 and 4 Year) (12 Months),Enrolled Out-of-State 4-Year College (Public/Private) (12 Months),Enrolled Out-of-State 2-Year College (Public/Private) (12 Months)
2020-21,D,12,75374,1275374,0,Humboldt,Ferndale Unified,District Office,All,All,TA,AGY,11,10,90.9,7,3,1,0,5,1,1,2,1
2020-21,D,17,64055,1764055,0,Lake,Middletown Unified,District Office,All,All,TA,AGY,11,6,54.5,4,2,5,1,1,2,0,2,0
2020-21,D,17,76976,1776976,0,Lake,Upper Lake Unified,District Office,All,All,TA,AGY,11,8,72.7,8,0,3,1,4,3,0,0,0
2020-21,D,37,68171,3768171,0,San Diego,Julian Union High,District Office,All,All,TA,AGY,11,9,81.8,5,4,2,2,1,2,0,4,0
2020-21,D,19,77289,1977289,0,Los Angeles,SBE - Los Angeles College Prep Academy,District Office,All,All,TA,AGY,12,8,66.7,8,0,4,1,5,2,0,0,0
2020-21,D,47,10470,4710470,0,Siskiyou,Siskiyou County Office of Education,District Office,All,All,TA,AGY,12,6,50,6,0,6,1,1,3,1,0,0
2020-21,D,54,71803,5471803,0,Tulare,Alpaugh Unified,District Office,All,All,TA,AGY,12,8,66.7,7,1,4,0,2,5,0,1,0
2020-21,D,49,70797,4970797,0,Sonoma,Liberty Elementary,District Office,All,All,TA,AGY,13,6,46.2,5,1,7,1,1,3,0,1,0
2020-21,D,49,70961,4970961,0,Sonoma,Twin Hills Union Elementary,District Office,All,All,TA,AGY,13,9,69.2,8,1,4,1,1,6,0,0,1
2020-21,D,56,72553,5672553,0,Ventura,Pleasant Valley,District Office,All,All,TA,AGY,13,8,61.5,7,1,5,0,1,6,0,0,1
