"cty","Name","College_Graduation_Rate_rP_gP_p25"
"cty38001","Adams County, ND",0.8348
"cty16023","Butte County, ID",0.7376
"cty20071","Greeley County, KS",0.6687
"cty08061","Kiowa County, CO",0.5765
"cty20179","Sheridan County, KS",0.537
"cty30015","Chouteau County, MT",0.5357
"cty20153","Rawlins County, KS",0.5295
"cty38025","Dunn County, ND",0.5196
"cty38091","Steele County, ND",0.5143
"cty30039","Granite County, MT",0.5142
"cty08027","Custer County, CO",0.5122
"cty08047","Gilpin County, CO",0.5076
"cty38039","Griggs County, ND",0.5065
"cty46021","Campbell County, SD",0.4851
"cty31073","Gosper County, NE",0.4789
"cty38061","Mountrail County, ND",0.4714
"cty20135","Ness County, KS",0.4692
"cty20025","Clark County, KS",0.4638
"cty38041","Hettinger County, ND",0.4606
"cty34003","Bergen County, NJ",0.4551
"cty31069","Garden County, NE",0.4549
"cty72127","San Juan Municipio, PR",0.4504
"cty31077","Greeley County, NE",0.4484
"cty31071","Garfield County, NE",0.4473
"cty48421","Sherman County, TX",0.4447
"cty36059","Nassau County, NY",0.44
"cty06041","Marin County, CA",0.4381
"cty20023","Cheyenne County, KS",0.4356
"cty20137","Norton County, KS",0.4332
"cty38011","Bowman County, ND",0.4311
"cty48011","Armstrong County, TX",0.4308
"cty30095","Stillwater County, MT",0.4276
"cty06075","San Francisco County, CA",0.4245
"cty08117","Summit County, CO",0.4237
"cty34027","Morris County, NJ",0.4231
"cty08091","Ouray County, CO",0.4199
"cty51600","Fairfax city, VA",0.419
"cty56011","Crook County, WY",0.4169
"cty51059","Fairfax County, VA",0.4146
"cty48295","Lipscomb County, TX",0.4145
"cty31039","Cuming County, NE",0.4116
"cty31015","Boyd County, NE",0.4116
"cty46045","Edmunds County, SD",0.4099
"cty46003","Aurora County, SD",0.4085
"cty20129","Morton County, KS",0.4084
"cty20203","Wichita County, KS",0.4071
"cty31179","Wayne County, NE",0.4069
"cty46027","Clay County, SD",0.4056
"cty31063","Frontier County, NE",0.4037
"cty20131","Nemaha County, KS",0.3989
"cty36079","Putnam County, NY",0.3975
"cty24031","Montgomery County, MD",0.3941
"cty36081","Queens County, NY",0.3936
"cty31135","Perkins County, NE",0.3923
"cty25021","Norfolk County, MA",0.3901
"cty40093","Major County, OK",0.3897
"cty38053","McKenzie County, ND",0.3896
"cty54105","Wirt County, WV",0.383
"cty51610","Falls Church city, VA",0.3827
"cty08115","Sedgwick County, CO",0.3821
"cty31123","Morrill County, NE",0.382
"cty34035","Somerset County, NJ",0.3817
"cty31089","Holt County, NE",0.3816
"cty38019","Cavalier County, ND",0.3808
"cty31085","Hayes County, NE",0.3808
"cty38047","Logan County, ND",0.3791
"cty40025","Cimarron County, OK",0.3776
"cty16085","Valley County, ID",0.3766
"cty08025","Crowley County, CO",0.3759
"cty02240","Southeast Fairbanks Census Area, AK",0.3737
"cty26083","Keweenaw County, MI",0.373
"cty20083","Hodgeman County, KS",0.3726
"cty38075","Renville County, ND",0.3722
"cty36119","Westchester County, NY",0.3721
"cty20123","Mitchell County, KS",0.3712
"cty38063","Nelson County, ND",0.3711
"cty08121","Washington County, CO",0.3664
"cty46067","Hutchinson County, SD",0.3649
"cty46089","McPherson County, SD",0.3627
"cty13281","Towns County, GA",0.362
"cty36087","Rockland County, NY",0.361
"cty46025","Clark County, SD",0.3605
"cty56039","Teton County, WY",0.3592
"cty19191","Winneshiek County, IA",0.3591
"cty30005","Blaine County, MT",0.3579
"cty20089","Jewell County, KS",0.3578
"cty31183","Wheeler County, NE",0.3567
"cty21201","Robertson County, KY",0.3566
"cty38097","Traill County, ND",0.3563
"cty38051","McIntosh County, ND",0.3551
"cty38029","Emmons County, ND",0.355
"cty16003","Adams County, ID",0.3531
"cty16065","Madison County, ID",0.353
"cty08015","Chaffee County, CO",0.3518
"cty20039","Decatur County, KS",0.3513
"cty20047","Edwards County, KS",0.3497
"cty34023","Middlesex County, NJ",0.3492
"cty38045","LaMoure County, ND",0.3488
"cty42091","Montgomery County, PA",0.3472
"cty31139","Pierce County, NE",0.3467
"cty36085","Richmond County, NY",0.3452
"cty31027","Cedar County, NE",0.3449
"cty25017","Middlesex County, MA",0.3439
"cty20095","Kingman County, KS",0.3439
"cty46107","Potter County, SD",0.3437
"cty08097","Pitkin County, CO",0.3425
"cty17043","DuPage County, IL",0.3424
"cty30025","Fallon County, MT",0.3418
"cty08037","Eagle County, CO",0.341
"cty38009","Bottineau County, ND",0.3395
"cty19161","Sac County, IA",0.3384
"cty16037","Custer County, ID",0.3383
"cty31065","Furnas County, NE",0.338
"cty30009","Carbon County, MT",0.3371
"cty31181","Webster County, NE",0.3369
"cty13113","Fayette County, GA",0.3366
"cty34019","Hunterdon County, NJ",0.3365
"cty36061","New York County, NY",0.3359
"cty31011","Boone County, NE",0.3358
"cty24027","Howard County, MD",0.3355
"cty20101","Lane County, KS",0.335
"cty44001","Bristol County, RI",0.3342
"cty30001","Beaverhead County, MT",0.3337
"cty38007","Billings County, ND",0.3333
"cty48259","Kendall County, TX",0.333
"cty16057","Latah County, ID",0.3323
"cty38031","Foster County, ND",0.332
"cty20105","Lincoln County, KS",0.3317
"cty31147","Richardson County, NE",0.3313
"cty30071","Phillips County, MT",0.3302
"cty08051","Gunnison County, CO",0.3298
"cty36039","Greene County, NY",0.3284
"cty08095","Phillips County, CO",0.3281
"cty51735","Poquoson city, VA",0.3281
"cty19149","Plymouth County, IA",0.328
"cty42045","Delaware County, PA",0.3267
"cty51181","Surry County, VA",0.3263
"cty46079","Lake County, SD",0.3253
"cty27125","Red Lake County, MN",0.3249
"cty51510","Alexandria city, VA",0.3249
"cty30073","Pondera County, MT",0.324
"cty19031","Cedar County, IA",0.3231
"cty31081","Hamilton County, NE",0.323
"cty25001","Barnstable County, MA",0.3227
"cty34025","Monmouth County, NJ",0.3226
"cty21237","Wolfe County, KY",0.322
"cty38037","Grant County, ND",0.322
"cty53037","Kittitas County, WA",0.3217
"cty46039","Deuel County, SD",0.3213
"cty08035","Douglas County, CO",0.3207
"cty17013","Calhoun County, IL",0.3204
"cty36103","Suffolk County, NY",0.3202
"cty19081","Hancock County, IA",0.32
"cty48009","Archer County, TX",0.3199
"cty20147","Phillips County, KS",0.319
"cty30061","Mineral County, MT",0.3187
"cty19075","Grundy County, IA",0.318
"cty41003","Benton County, OR",0.3169
"cty19109","Kossuth County, IA",0.3169
"cty31185","York County, NE",0.3161
"cty19001","Adair County, IA",0.3156
"cty51107","Loudoun County, VA",0.3154
"cty27149","Stevens County, MN",0.3146
"cty34037","Sussex County, NJ",0.3145
"cty17085","Jo Daviess County, IL",0.3145
"cty36047","Kings County, NY",0.3142
