date,tempreature,humidity,water_level,N,P,K,Fan_actuator_OFF,Fan_actuator_ON,Watering_plant_pump_OFF,Watering_plant_pump_ON,Water_pump_actuator_OFF,Water_pump_actuator_ON
2024-02-08 06:10:00,41,63,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
2024-02-08 06:15:00,41,59,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
2024-02-08 06:20:00,41,62,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
2024-02-08 06:05:00,40,60,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
2024-02-08 06:00:00,39,61,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
2024-01-18 06:02:00,38,64,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
2024-01-18 06:07:00,38,65,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
2024-01-18 06:12:00,38,64,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
2024-01-18 05:02:00,37,62,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
2024-01-18 05:07:00,37,63,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
2024-01-18 05:12:00,37,61,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
2024-01-18 05:17:00,37,64,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
2024-01-18 05:22:00,37,61,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
2024-01-18 05:37:00,37,63,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
2024-01-18 05:42:00,37,66,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
2024-01-18 05:47:00,37,62,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
2024-01-18 05:52:00,37,64,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
2024-01-18 05:57:00,37,63,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
2024-01-18 06:17:00,37,64,100,255,255,255,0.0,1.0,1.0,0.0,1.0,0.0
